city,country
New York,US
Los Angeles,US
Chicago,US
Houston,US
Phoenix,US
Philadelphia,US
San Antonio,US
San Diego,US
Dallas,US
San Jose,US
Austin,US
Jacksonville,US
Fort Worth,US
Columbus,US
Charlotte,US
San Francisco,US
Indianapolis,US
Seattle,US
Denver,US
Washington,US
Boston,US
El Paso,US
Nashville,US
Detroit,US
Oklahoma City,US
Portland,US
Las Vegas,US
Memphis,US
Louisville,US
Baltimore,US
Milwaukee,US
Albuquerque,US
Tucson,US
Fresno,US
Sacramento,US
Mesa,US
Kansas City,US
Atlanta,US
Omaha,US
Colorado Springs,US
Raleigh,US
Miami,US
Virginia Beach,US
Oakland,US
Minneapolis,US
Tulsa,US
Arlington,US
New Orleans,US
Wichita,US
Cleveland,US
Tampa,US
Bakersfield,US
Aurora,US
Anaheim,US
Santa Ana,US
Corpus Christi,US
Riverside,US
Lexington,US
Stockton,US
Henderson,US
Saint Paul,US
St. Louis,US
Cincinnati,US
Pittsburgh,US
Greensboro,US
Anchorage,US
Plano,US
Lincoln,US
Orlando,US
Irvine,US
Newark,US
Toledo,US
Durham,US
Chula Vista,US
Fort Wayne,US
Jersey City,US
St. Petersburg,US
Laredo,US
Madison,US
Chandler,US
Buffalo,US
Lubbock,US
Scottsdale,US
Reno,US
Glendale,US
Gilbert,US
Winston-Salem,US
North Las Vegas,US
Norfolk,US
Chesapeake,US
Garland,US
Irving,US
Hialeah,US
Fremont,US
Boise,US
Richmond,US
Baton Rouge,US
Spokane,US
Des Moines,US
Tacoma,US
San Bernardino,US
Modesto,US
Fontana,US
