Purchase_Order_Number,Component_Code,Component_Description,Quantity,Unit_Price,Total_Price,Order_Date,Delivery_Date,Status
PO1001,COMP-001,Compressor Unit,500,200,100000,2021-01-05,2021-01-14,Delivered
PO1002,COMP-002,Condenser Coil,800,100,80000,2021-01-10,2021-01-21,Delivered
PO1003,COMP-003,Evaporator Coil,700,80,56000,2021-02-02,2021-02-16,Delivered
PO1004,COMP-004,Blower Motor,1000,50,50000,2021-02-15,2021-02-21,Delivered
PO1005,COMP-005,Expansion Valve,1200,20,24000,2021-03-10,2021-03-21,Delivered
PO1006,COMP-006,Heat Exchanger,300,150,45000,2021-03-15,2021-03-29,Delivered
PO1007,COMP-007,Thermostat,1500,10,15000,2021-04-02,2021-04-11,Delivered
PO1008,COMP-008,Control Board,600,30,18000,2021-04-10,2021-04-22,Delivered
PO1009,COMP-009,Fan Blade,2000,5,10000,2021-05-05,2021-05-09,Delivered
PO1010,COMP-010,Refrigerant Gas,10000,2,20000,2021-05-10,2021-05-20,Delivered
PO1011,COMP-001,Compressor Unit,600,200,120000,2021-06-05,2021-06-16,Delivered
PO1012,COMP-002,Condenser Coil,1000,100,100000,2021-06-10,2021-06-18,Delivered
PO1013,COMP-003,Evaporator Coil,900,80,72000,2021-07-02,2021-07-09,Delivered
PO1014,COMP-004,Blower Motor,1200,50,60000,2021-07-15,2021-07-26,Delivered
PO1015,COMP-005,Expansion Valve,1500,20,30000,2021-08-10,2021-08-21,Delivered
PO1016,COMP-006,Heat Exchanger,400,150,60000,2021-08-15,2021-08-28,Delivered
PO1017,COMP-007,Thermostat,2000,10,20000,2021-09-02,2021-09-11,Delivered
PO1018,COMP-008,Control Board,800,30,24000,2021-09-10,2021-09-19,Delivered
PO1019,COMP-009,Fan Blade,2500,5,12500,2021-10-05,2021-10-11,Delivered
PO1020,COMP-010,Refrigerant Gas,12000,2,24000,2021-10-10,2021-10-11,In Process
PO1021,COMP-001,Compressor Unit,700,200,140000,2021-11-05,2021-11-25,Delivered
PO1022,COMP-002,Condenser Coil,1200,100,120000,2021-11-10,2021-11-21,Delivered
PO1023,COMP-003,Evaporator Coil,1000,80,80000,2021-12-02,2021-12-08,Delivered
PO1024,COMP-004,Blower Motor,1500,50,75000,2021-12-15,2021-12-20,Delivered
PO1025,COMP-005,Expansion Valve,1800,20,36000,2022-01-10,2022-01-25,Delivered
PO1026,COMP-006,Heat Exchanger,500,150,75000,2022-01-15,2022-01-16,Delivered
PO1027,COMP-007,Thermostat,2500,10,25000,2022-02-02,2022-02-05,Delivered
PO1028,COMP-008,Control Board,1000,30,30000,2022-02-10,2022-02-13,Delivered
PO1029,COMP-009,Fan Blade,3000,5,15000,2022-03-05,2022-03-08,Delivered
PO1030,COMP-010,Refrigerant Gas,15000,2,30000,2022-03-10,2022-03-14,Delivered
PO1031,COMP-001,Compressor Unit,800,200,160000,2022-04-05,2022-04-07,Delivered
PO1032,COMP-002,Condenser Coil,1300,100,130000,2022-04-10,2022-04-29,Delivered
PO1033,COMP-003,Evaporator Coil,1200,80,96000,2022-05-02,2022-05-04,Delivered
PO1034,COMP-004,Blower Motor,1800,50,90000,2022-05-15,2022-05-18,Delivered
PO1035,COMP-005,Expansion Valve,2000,20,40000,2022-06-10,2022-06-20,Delivered
PO1036,COMP-006,Heat Exchanger,600,150,90000,2022-06-15,2022-06-18,Delivered
PO1037,COMP-007,Thermostat,3000,10,30000,2022-07-02,2022-07-07,Delivered
PO1038,COMP-008,Control Board,1200,30,36000,2022-07-10,2022-07-20,Delivered
PO1039,COMP-009,Fan Blade,3500,5,17500,2022-08-05,2022-08-15,Delivered
PO1040,COMP-010,Refrigerant Gas,18000,2,36000,2022-08-10,2022-08-22,Delivered
PO1041,COMP-001,Compressor Unit,900,200,180000,2022-09-05,2022-09-18,Delivered
PO1042,COMP-002,Condenser Coil,1400,100,140000,2022-09-10,2022-09-24,Delivered
PO1043,COMP-003,Evaporator Coil,1300,80,104000,2022-10-02,2022-10-11,Delivered
PO1044,COMP-004,Blower Motor,2000,50,100000,2022-10-15,2022-10-21,Delivered
PO1045,COMP-005,Expansion Valve,2500,20,50000,2022-11-10,2022-11-17,Delivered
PO1046,COMP-006,Heat Exchanger,700,150,105000,2022-11-15,2022-11-18,Delivered
PO1047,COMP-007,Thermostat,3500,10,35000,2022-12-02,2022-12-19,Delivered
PO1048,COMP-008,Control Board,1400,30,42000,2022-12-10,2022-12-30,Delivered
PO1049,COMP-009,Fan Blade,4000,5,20000,2023-01-05,2023-01-21,Delivered
PO1050,COMP-010,Refrigerant Gas,20000,2,40000,2023-01-10,2023-01-20,Delivered
